# This file contains 'Interaction Scores' generated by rec-YnH score function
DB(Read 1) \ AD(Read 2)	"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"CCND2"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.378502	6.391339	4.750591	3.907915	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.201621	0.000000	2.084052	0.000000	0.000000	0.000000	0.000000	0.000000	5.248996	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.909741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.909741	0.000000	0.000000	0.000000	0.000000	0.000000	2.373119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"CCND3"	0.000000	0.000000	0.748555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6.529925	5.431849	2.460330	2.487278	0.000000	0.000000	0.000000	0.000000	0.000000	3.395272	1.215638	0.000000	0.000000	1.865867	0.000000	1.140946	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.395272	0.000000	0.000000	1.009296	0.000000	0.000000	1.401435	0.000000	2.312463	0.000000	2.722662	0.000000	0.000000	0.000000	6.588194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.666982	3.583324	2.457144	0.994091	0.000000	0.000000	0.000000	3.533498	1.501344	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"CDK4"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.518986	4.976995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.141821	0.000000	0.000000	0.000000	0.000000	2.747942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.752184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.650252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"CDK6"	0.000000	0.000000	0.000000	0.000000	0.000000	4.846549	0.000000	0.000000	0.000000	0.000000	4.028746	5.248996	0.000000	0.000000	0.000000	3.938613	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.346441	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.668177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"CDKN1A"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.989644	0.891027	0.000000	0.000000	5.296641	4.125730	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.071356	0.000000	0.000000	0.000000	0.824906	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.062856	1.299618	0.506678	0.000000	0.000000	0.000000	1.125486	0.000000	0.000000	2.272172	0.000000	0.000000	3.895841	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.511674	0.000000	0.000000	1.034192	0.000000	0.000000	0.000000	0.000000	3.737981	3.546116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.371236	0.000000
"CDKN2D"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.753353	0.000000	1.371236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.071356	0.000000	2.398482	0.000000	2.492755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.687817	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	4.364792	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.254739	1.630374	0.000000	0.000000	0.000000	0.000000	0.000000	1.649036	0.000000	4.076320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"CEP55"	2.274053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.331001	3.435923	0.000000	0.000000	2.310505	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.435759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.080995	0.000000	0.000000	0.000000	0.000000	1.852913	0.000000	0.000000	2.387834	2.612525	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.729687	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.893516	0.000000	2.310505	0.000000	0.000000	0.000000	0.000000	2.172465	0.000000
"CNOT7"	0.000000	0.000000	0.000000	0.000000	0.000000	4.308353	0.000000	4.198931	2.511765	0.000000	3.134970	0.947869	5.528273	0.000000	1.012141	0.000000	4.147501	0.000000	0.000000	0.000000	0.000000	0.000000	3.226693	2.763097	1.526704	3.759347	0.000000	0.000000	0.000000	0.000000	0.000000	1.793787	5.180856	0.000000	2.003613	4.334966	3.446444	0.000000	5.528273	0.000000	0.000000	3.609703	0.000000	0.000000	4.606068	4.059809	0.000000	0.000000	0.000000	4.851532	0.000000	0.000000	0.000000	0.000000	2.144206	1.172602	0.000000	0.000000	0.000000	0.000000	4.198931	3.784340	1.360490	2.310505	0.000000	0.000000	0.000000	3.652721	0.000000	4.800914	4.705070	0.000000	0.000000	0.000000	0.000000	1.908074	2.897253	0.000000
"CTBP1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"DAPK1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.910993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	7.495408	0.000000	0.000000	1.996655	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.353199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
