"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"CCND2"	0	0	0.487682607073685	0	0	0	0	0.465551821066725	0	0	0	0.375947336091338	6.43233077064477	3.97634043939347	4.05801972457968	0	0	1.40200318169265	0	0	0	2.27519729297076	0.853405914388848	0	0.823991834052528	1.43980793737055	0	0	0	0	3.06520581213015	0.586173640599189	1.14180695643045	0	0	0.479286371888171	0.951478752538855	0	0	0.711155870320005	0	1.09503917779681	0	0.582653250890644	0	0	0	2.14030961428913	2.12647251936469	0	0	0	0	0.928223642638955	0	0	3.62782722402061	0	0	0.350366429212876	1.98694635314904	0.705947843985916	0	0.693261781528151	0	0.520258585491514	2.03516526992346	1.95623464055495	0	2.24349096203929	0	1.13487032676023	0	0	0	0	0	0
"CCND3"	0.840434733923077	5.44056390642394	0.701137621103412	0	0.928070855586557	0	0	0.962081553995593	0.239454257259123	1.46876380531188	0.402096281226962	0.245223603473349	6.51978859966351	5.17350161691932	3.15659796628982	1.3307286368359	0	0	0	0	0.860707827021296	3.40071679270678	1.17330364489682	0	0.969993569589855	1.37798822355481	0.436768699130577	1.03031108717938	3.24574846190861	0	1.10212803643109	0.553811970551653	0.808132563865921	0	1.12337760635243	0	0.661028734210827	0.270185249824302	1.41351571430655	0.481842703674592	0	0.913740095679075	0	0.207702786450613	1.18047680151797	1.27159121179229	1.64220041084844	2.06423557952541	3.22972645465007	0	0	0	4.2617986761895	0.88201423464591	0	0.318918836359169	0	0	0	0.42456074081168	3.06674992613779	2.41180637928989	0.65031193826903	0.82206377484288	2.81991075280621	0	2.28010085976232	2.28814646913546	0	0.661028734210827	0	0.94893374612951	0	0	0	0.13697483891863	0.330146783357498	0
"CDK4"	0	0	0	0	1.28352929780097	0	0	0	0	0	3.61301825601604	4.9825786653415	0	0	0.403327069002272	1.38133440615556	0	0	0	0	3.80366162219242	0	0	1.82534588833345	0	1.42965122426634	0	0.412805464418443	0	0	0	0	0	0	0	0	0	0	1.86539673324095	0	0	0	0	0.577317199186062	0	0	0	0	1.41388649522812	0	3.50733349569604	0	0	0	1.8518266520364	0.836867445027265	0	0	0	0	0	2.04299884483498	0	0	0	0	0	0.963097591556459	0	0	0	0	0	0	0	0	0	0
"CDK6"	0	0	0	0	0	2.41180637928989	0	0	0	0	3.84368849864456	5.53262248743425	0	0	0	2.71283526624321	3.98333432844511	0	0	0	1.58231185846962	1.29910136987256	0	0	0.66534984058821	1.2034738543309	0	0	0	0	0	0.466026866925768	1.50367426592312	0	0	0.925430787084073	0	0	0	0.97767295516449	5.7240178169832	0	0	0.813142040854689	0.826991727091435	0	0	0	1.18929664346545	0	0	0	0	0.754327706567346	0.739087939907482	0	0	0	0	0	0	1.28715742966644	0	0.5551216480029	0	0	1.74722768795047	0.791087055770918	0	0	3.57497654581507	0	0	0	0	0.31435924581451	0	0
"CDKN1A"	0.449821841771946	0	0	0	0	0	1.50629287860986	0.219760206948705	0	0	5.58064320654989	4.19872381062716	0	0	0	0	0	0	0	0	1.09274508977716	1.80279595526477	0	0	0	1.02575405668496	0	0.195008020734125	0	0	0	0.519166844957306	0.605291450381564	0	0	0.595255201320327	0.853534422531601	0.65250608601009	0	0	6.48152475464148	0.576161911619044	0	0	1.86296779347496	0.576161911619044	0	1.30604817614964	1.29540120834647	0.494737905579719	0	2.78461544890705	0	0	0.81563173496719	0	0	0	0.532319404669157	0	0	1.39849210890147	0	0	0	0	1.87873111153642	3.39794025980257	0	0	0	0.331540913431753	0	0	0	0.3522509674263	0.440422805690119	0
"CDKN2D"	0	0	0	0	0	0	2.23807654624806	0	0	0	0	0.721920178463075	0	0.402207858528842	0	0	2.7366116113265	0	0	1.19730237221557	1.71712299267861	4.28031040221313	1.03977582402574	1.69805618114833	0.417986059371762	2.53170304974289	0	0	3.68891498909373	0	0	0	1.03758843277027	0	0.731982844207846	0	0	0.657642906465523	1.73667408519797	0	4.94211159120964	0.580811405098127	0	0	0.916708515137488	0.580811405098127	0	0	4.43041674249658	0.498838229484365	0	1.99064318196304	0	0	0	0	0	0	1.23381593968497	0.163402189486257	3.50396428541563	2.10587968119222	0	0	0	0	0	1.62969034508463	0	3.81119684010904	2.0463775861538	0.334441952539578	0	0	0	0	0	0
"CEP55"	1.01823248431362	0	0	0	0	1.44346958351519	0	0.547113923844093	0	0	1.17038733112327	0.783196552505633	1.9527885740092	1.22565108601008	0.99089057400416	0.57662346397698	0	0	6.38452641698231	0	0	1.11279499828191	0	1.35473526503662	0	0.697967763288491	0	0	0	0	1.69198794685714	0.382372663860311	0.791197029788207	0	0	0	0.646526276742574	0	0	0	5.40169183424514	1.44346958351519	0	0	0.692451157814962	0.755226558415472	0	0	1.60322266243272	0	0	0	0	1.06581054441533	0.615948393017455	0.566890237633929	0	0	0	0	0	1.33837260572076	0	0.457876379404124	0	0.336729479166772	0	1.45626118707718	0	7.17602552328892	0	1.06084468169024	0	0	0	0	1.58551727856184	0
"CNOT7"	0.584131322854499	0	1.1278076377286	0	1.83378460638957	2.59037603824251	0	4.26169748574634	3.73450442876248	0	2.01577360573204	0.767097073102571	5.49261592446927	1.20360825597243	1.54720780792599	1.54268144963225	3.64156097478407	0	0	1.4578444087589	0	1.092101690242	3.02372103971097	3.33592066091518	1.70932684056715	4.43262579946331	0.739566627444155	0.839788520696205	0	0	0	1.98347524260948	5.56148803630341	0	1.22610674923183	3.96644780941057	4.52460823964436	0.722613901385736	5.44440231894789	0.808209153046841	0	3.50842234311032	0	0.910628234274381	5.42557938719135	4.83069355063473	0.850886654273796	1.58929495460997	2.79756496377107	4.14908497064128	0	0	0	0	2.50236040899349	2.17451037967979	0	0	1.14899231207757	1.09364513693001	4.56746577524716	4.79633653463922	1.88622808115881	2.42317153860708	0	0.328751978059257	0	4.45543303402592	0	5.04107626804597	2.38667889567112	0.769704230916929	0	0	0	0.811111329971549	1.97166852032276	0
"CTBP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAPK1"	0	0	0.507025698949885	0	0	0	0	1.37577357398583	0	0	0	0.952409021886195	0	0	0	0	0	0	0	0	1.90510487126495	0	1.42731281330329	0	0	0	1.13070458944131	0	4.88517199553319	0	0	0	0	0	0.84245945391217	0	0	0.547945815659516	0	0	0	0	0	0	1.0463961075758	0	0	0	0	0	0	3.93318343771852	4.41914189549537	0.960083443371997	0	0.8737444952262	0	0	0	0	2.03683801794474	1.57664833096941	0	0	0	0	2.90477995650597	1.00384941697831	0	0	0	0.701447049759846	0	0	0	0	0.899334010952709	0
