"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"CCND3"	0	0	0.164906259951957	0	0.236043933396624	0	0	1.01781473520961	0	0	0.366093114797546	0.0437167449357737	5.36116697450705	5.1752531493015	3.8218368415681	0.909795143144913	0.448766745410497	0.785257955255872	0	0.388752075883736	0	2.30712021070849	0	1.29337442294605	0.710187919644289	2.87398860414589	0.381297672269548	0.315357856540351	0	0	0.900392272946253	0.348974282315293	1.96222484359952	0	0.385984992494551	0.60474488050694	0.103367008700613	0.178670050102074	1.00165945092758	0.115287724048981	0	0.995801114532441	0	0.21780140404562	0.792855197558823	0.951263564177928	0.33652171847521	0	3.38955447512596	0.0687685308302722	0	1.84788482177331	1.57567019726345	0.59993378921843	0.0805927001075354	0.281574647142419	0	0	0	0.357506045016119	1.23431737296313	2.33994083248813	0.280255484829195	0.262240196965255	0	0.173875467861252	0.501775672662088	3.28145467253539	2.13280130009685	2.94484914526398	0	0.134709630101787	0	0	0	0.251937379735928	0.614693601643516	5.41262997201141
"CDK4"	0.306965374564247	0	0	0	0	0.798938652851449	0	0	0.187756713436952	0	5.26079332884217	5.25463507161459	0	0	0.389932260847576	0.34981092810787	0	0	0	0	0	2.23238557812069	0	1.23830109866805	0	2.03129094255043	0.511023303970295	0	0	0	0	0.469377647505647	0	0	0.229472993462869	0	0	0	1.26803514052597	0	0	0.444135481973015	0	0.54394099788459	0.197907592804467	0.196292559052551	0	0	1.66663336475533	0	0	0	3.60080975785362	1.29223421032202	0.215930263329297	0	0	0	0.464164722890098	0.0920104606160665	0	0.24028672911009	0.138057412866593	0	0	0	0	0.676187395570216	0	0.477422375309195	0	0	0	0	0	0	0	0
"CDK6"	0	0	0.167783215356344	0	0	0	0	0.240654519786731	0	0	3.86126244853651	4.93154548941155	0.685356234515025	0	0.104311079940509	0.675074578675075	0	0.796406074764156	0	1.17626070958148	0	0	0.289010809806538	0	0.332402546858599	0.713220782072134	0	0	0	0	0	0.128166701302902	0	0	0.321854764701057	0.247534169836597	0.381395958939504	0.181772346332877	0	0.117333940673918	0	0.477116676264428	0	0.582955341277318	0.713220782072134	0	0	0	0	0.376667851742426	0	0	3.18100350339805	0	0	0.0770733483165365	2.11192763590088	0	0	0	0.756040585076995	1.21015165733901	0.196080162400227	0.0944718691867219	0	0	0	0.519434885673528	0	0.361008861535228	0	0.137084482538658	0	0	0	0.256203128559265	0.981041862400325	0
"CDKN1A"	0.195101864915414	0	0.272414820767608	0	0	0	0	0.106314021301281	0.117543031056724	0	5.94983213518067	4.28398426894884	0.596801824244099	0.700304576178482	0	0	0	0.696681773440635	0	0	0	0.537870770522604	0	0	0	2.35914896887229	0	0.143823689579262	0	0	0	0	0.261656891516053	0	0	0.452051159636251	0.327641626595903	0	1.19544846792092	0	4.98163466307513	0.0772997845277566	0	0.505406399613256	0.344137568874941	0.531137087549326	0.536925227350601	0	0.413638714618843	0.323507528837548	0	0	0	0.372946848913834	0	0.244820380244377	0	0	0.946452435552159	0.164345072646582	1.11156185146836	0.635431241399397	0.243659219266931	0	0	0	0	6.07594318199949	0	1.28531911310006	1.31456191359001	0.116347313639844	0	0	0	0.149463953458132	0.125880528605971	0
"CDKN2D"	0	2.58679274948395	0	0	0	0	0	0.147029091127018	0.083442953282678	0	0	0.199316585875474	0	0.410045336050991	0	0.304627120792968	0	0	0	0	1.01575629479349	3.73990994201535	0	0.662005835473749	0	3.49405569759953	0.241346166391338	0.287590319581247	0	3.75692096864607	2.04605807778366	0.0771172902526661	3.04498371389617	0	0	0.288358124856072	0.342856423930238	0.308104573407114	1.89335167372148	0.322367566395345	3.02746160546335	1.00276723068759	0	0.372146611465722	0.324183344828798	0	0	0	4.03317791765029	0.160338974641007	0	0	1.75897653777666	0.499631734615069	0	0	0	0	0	0.0401376488655472	1.3942360081368	2.26430698748529	0.119079262850594	0.214109571740732	0	0.344656352443934	0	2.88822730579708	0	3.53438189535146	1.62597502843106	0.0825842490398936	0	0	0	0.342545319218373	0	0
"CEP55"	0	0	0.684090990099772	0	0	0	0	0	0.13634764635032	0	0	0.244848642872449	0.997919994013921	0.241724350163076	0.373037327309283	0.257829726693823	0	0	0	0	0.648068517257065	0	0	0.977677053962419	0.327596356557118	0.608119565377277	0	0.166595809765381	0	0	0	0.79178931272375	0.762641585554522	0	0	0.515698475707124	0	0	0.58704168692696	0.663129432292053	0	0.47053610508284	0	0.113226514561696	0	1.02813800268705	0.233265787758309	0	0.472713183248404	0.134666935767182	0	0	2.3130953547352	0	0.157220829189209	0.0758598963384933	0	0	0	0.41005901237006	1.89175569795253	0.472713183248404	0	0.0929932103064945	0	0.4699177935843	0	2.92771341093857	0.977677053962419	7.1665303699303	3.27548999258722	0.372070207257825	0	0	0	0.25240430617778	0.615704391394312	0
"CNOT7"	0.491901820998999	0	1.56951973850071	0	1.19156534266328	1.18126226799379	0	3.12065649689764	2.87019137362267	2.58679274948395	1.32591691820408	1.53055412802284	4.62762371949372	1.85989822442966	1.35108082464085	2.67971328844211	4.21494732946934	0	0	1.31571345633452	1.01575629479349	1.5368618586143	3.36560159808469	2.64166833436657	2.48391731077743	5.51680625557427	0.44804490923776	0.855085634093141	3.51507338368591	0	2.85987431452198	2.17444378844178	5.38302943794196	0	1.35108082464085	3.9396357220157	4.54015188844864	0.842858262409317	5.27455824003534	1.1055116909803	0	4.81664553371847	0	0.667714453352047	4.62917071286878	3.64256252092977	1.17956333903253	0	1.11407512780224	3.24238564906177	0	0	0	1.40893487912091	2.40280142372347	2.61456251008884	0	0	0.722763119896072	0.884682107652716	3.31566949543837	4.94181761423123	2.39480368727769	2.02848577607126	0	0.760345357901537	1.32324610800172	5.60035080417168	1.45777445717192	5.67931701748836	1.62597502843106	0.957996432563273	0	0	0	2.22506355498004	1.18845454528388	0
"CTBP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAPK1"	0	0	0	0	0	0	0	0.552148833234624	0	0	0	0	0	0.817169048573014	0.387527444385369	0	0	0.813094472403512	0	0	1.75222124319214	0	0	1.59668266452394	0	0	0	0	0	0	0	0.653254590388772	1.29567134563568	0	0	0.329310859520293	0	0.351536005481239	1.63117148850087	0	0	0	0	0	0	1.20321823448738	0	0	0	0	0	0	0	0.781938762027142	0	0.154145015712102	0	0	0	0	0	1.05638770002221	0	0	0	0.181458323105854	0	0.531349010354194	0	1.11668840858238	0	0	0	0	0	0.180284608949657	0.737312053451881	0
"DDX39A"	0.301578815108927	0	0.322227389507021	0	0	0	1.13352777324346	0.167080295259571	0.184329406363201	0	0.339503715666248	0.225958978974402	0.497036361062671	0.170442329251744	0	0.182093594706634	0	0.3209712844983	0	0	0	0	0	0.736724579049989	0.76641053264123	0.589390526601785	0	0.41858832197601	0	0	0	0.525943277326861	0	0	0.326055647626907	0.116900525972634	0.140566909949732	0.447095120375361	0.757428323100348	0	0	0.613751690812887	0	0.0787883115887215	0	0.0995754236342007	0	0	0.847729109495791	0.0939178208308223	0	0	0	0.306630493640192	0.307393374262652	0.375111566449391	0	0	0	1.21646492071526	0	0.34091007279294	0.0693376614818243	0.350096223991616	0	0.287579168256495	0	1.80393482430735	0	0	4.63685152430918	0.490094498818707	0	0	0	0.121186573411268	0.370463701581404	0
